[2025-06-23 09:21:41 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 09:21:42 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 09:21:43 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 09:22:39 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 09:22:39 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 09:22:40 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 09:25:58 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 09:25:58 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 09:25:59 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 09:27:09 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 09:27:09 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 09:27:10 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 09:33:16 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 09:33:16 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 09:33:17 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 09:33:47 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 09:33:48 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 09:33:48 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 09:37:20 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 09:37:20 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 09:37:20 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 09:43:50 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 09:43:50 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 09:43:51 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 09:44:02 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 09:44:02 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
